Previous Time Slice,Previous Community,Current Time Slice,Current Community,Similarity,Event
202404,56,202405,-1,,Dies
202404,57,202405,-1,,Dies
202404,58,202405,-1,,Dies
202404,59,202405,-1,,Dies
202404,60,202405,59,1.0,Continues
202404,61,202405,60,1.0,Continues
202404,62,202405,-1,,Dies
202404,63,202405,61,1.0,Continues
202404,64,202405,-1,,Dies
202404,65,202405,-1,,Dies
202404,66,202405,77,1.0,Continues
202404,67,202405,-1,,Dies
202404,68,202405,-1,,Dies
202404,69,202405,-1,,Dies
202404,70,202405,-1,,Dies
202404,71,202405,34,1.0,Continues
202404,72,202405,-1,,Dies
202404,73,202405,20,0.9264036865638913,Continues
202404,74,202405,-1,,Dies
202404,75,202405,-1,,Dies
202404,76,202405,-1,,Dies
202404,77,202405,-1,,Dies
202404,78,202405,29,1.0,Continues
202404,79,202405,66,1.0,Continues
202404,80,202405,-1,,Dies
202404,81,202405,-1,,Dies
202404,82,202405,-1,,Dies
202404,83,202405,70,1.0,Continues
202404,84,202405,-1,,Dies
202404,85,202405,71,1.0,Continues
202404,86,202405,-1,,Dies
202404,87,202405,-1,,Dies
202404,88,202405,-1,,Dies
202404,89,202405,74,1.0,Continues
202404,90,202405,36,0.7356620520625604,Continues
202404,91,202405,-1,,Dies
202404,92,202405,-1,,Dies
202404,93,202405,-1,,Dies
202404,94,202405,82,1.0,Continues
202404,95,202405,-1,,Dies
202404,96,202405,-1,,Dies
202404,97,202405,79,1.0,Continues
202404,98,202405,-1,,Dies
202404,99,202405,-1,,Dies
202404,100,202405,5,0.23272812387348987,Splits
202404,100,202405,12,0.3704764493788946,Splits
202404,101,202405,-1,,Dies
202404,102,202405,84,1.0,Continues
202404,103,202405,-1,,Dies
202404,104,202405,-1,,Dies
202404,105,202405,63,0.6666581061588575,Continues
202404,106,202405,-1,,Dies
202404,107,202405,-1,,Dies
202404,108,202405,85,1.0,Continues
202404,109,202405,-1,,Dies
202404,110,202405,43,0.6882909596228495,Continues
202404,111,202405,-1,,Dies
202404,112,202405,-1,,Dies
202404,-1,202405,6,,Born
202404,-1,202405,9,,Born
202404,-1,202405,10,,Born
202404,-1,202405,11,,Born
202404,-1,202405,13,,Born
202404,-1,202405,14,,Born
202404,-1,202405,17,,Born
202404,-1,202405,18,,Born
202404,-1,202405,19,,Born
202404,-1,202405,21,,Born
202404,-1,202405,23,,Born
202404,-1,202405,24,,Born
202404,-1,202405,26,,Born
202404,-1,202405,27,,Born
202404,-1,202405,28,,Born
202404,-1,202405,31,,Born
202404,-1,202405,33,,Born
202404,-1,202405,35,,Born
202404,-1,202405,40,,Born
202404,-1,202405,41,,Born
202404,-1,202405,44,,Born
202404,-1,202405,45,,Born
202404,-1,202405,46,,Born
202404,-1,202405,47,,Born
202404,-1,202405,48,,Born
202404,-1,202405,49,,Born
202404,-1,202405,51,,Born
202404,-1,202405,53,,Born
202404,-1,202405,58,,Born
202404,-1,202405,64,,Born
202404,-1,202405,65,,Born
202404,-1,202405,67,,Born
202404,-1,202405,68,,Born
202404,-1,202405,69,,Born
202404,-1,202405,72,,Born
202404,-1,202405,73,,Born
202404,-1,202405,75,,Born
202404,-1,202405,76,,Born
202404,-1,202405,78,,Born
202404,-1,202405,80,,Born
202404,-1,202405,81,,Born
202404,-1,202405,83,,Born
202405,0,202406,0,0.7521235321785553,Continues
202405,1,202406,71,0.22251840654990487,Continues
202405,2,202406,5,0.8709012960543926,Continues
202405,3,202406,9,0.6917707013295904,Continues
202405,4,202406,7,0.8781030567840322,Continues
202405,5,202406,54,0.9582716973885506,Continues
202405,6,202406,-1,,Dies
202405,7,202406,10,0.9939631134363224,Continues
202405,8,202406,-1,,Dies
202405,9,202406,36,1.0,Continues
202405,10,202406,12,1.0,Continues
202405,11,202406,11,1.0,Continues
202405,12,202406,-1,,Dies
202405,13,202406,-1,,Dies
202405,14,202406,-1,,Dies
202405,15,202406,71,0.2798431268463408,Continues
202405,16,202406,13,0.25033956331666257,Continues
202405,17,202406,-1,,Dies
202405,18,202406,17,1.0,Continues
202405,19,202406,18,0.4522851886785651,Continues
202405,20,202406,18,0.343126548807351,Continues
202405,21,202406,-1,,Dies
202405,22,202406,20,1.0,Continues
202405,23,202406,-1,,Dies
202405,24,202406,21,1.0,Continues
202405,25,202406,4,0.6555748844213836,Continues
202405,26,202406,-1,,Dies
202405,27,202406,1,0.8332972554260634,Continues
202405,28,202406,16,0.7499807378680672,Continues
202405,29,202406,23,1.0,Continues
202405,30,202406,24,1.0,Continues
202405,31,202406,-1,,Dies
202405,32,202406,26,1.0,Continues
202405,33,202406,-1,,Dies
202405,34,202406,-1,,Dies
202405,35,202406,29,1.0,Continues
202405,36,202406,14,0.37536155316177994,Continues
202405,37,202406,35,1.0,Continues
202405,38,202406,59,1.0,Continues
202405,39,202406,31,1.0,Continues
202405,40,202406,45,1.0,Continues
202405,41,202406,-1,,Dies
202405,42,202406,72,1.0,Continues
202405,43,202406,3,0.8156125038564842,Continues
202405,44,202406,-1,,Dies
202405,45,202406,81,0.9478557092437722,Continues
202405,46,202406,51,1.0,Continues
202405,47,202406,-1,,Dies
202405,48,202406,-1,,Dies
202405,49,202406,-1,,Dies
202405,50,202406,44,0.8748987997327028,Continues
202405,51,202406,-1,,Dies
202405,52,202406,46,1.0,Continues
202405,53,202406,47,1.0,Continues
202405,54,202406,-1,,Dies
202405,55,202406,50,1.0,Continues
202405,56,202406,52,1.0,Continues
202405,57,202406,67,1.0,Continues
202405,58,202406,32,0.947356253620656,Continues
202405,59,202406,55,1.0,Continues
202405,60,202406,57,1.0,Continues
202405,61,202406,58,1.0,Continues
202405,62,202406,43,1.0,Continues
202405,63,202406,61,1.0,Continues
202405,64,202406,62,1.0,Continues
202405,65,202406,-1,,Dies
202405,66,202406,68,1.0,Continues
202405,67,202406,69,1.0,Continues
202405,68,202406,40,1.0,Continues
202405,69,202406,-1,,Dies
202405,70,202406,73,1.0,Continues
202405,71,202406,74,1.0,Continues
202405,72,202406,-1,,Dies
202405,73,202406,41,1.0,Continues
202405,74,202406,75,1.0,Continues
202405,75,202406,79,1.0,Continues
202405,76,202406,78,1.0,Continues
202405,77,202406,60,1.0,Continues
202405,78,202406,-1,,Dies
202405,79,202406,83,1.0,Continues
202405,80,202406,39,1.0,Continues
202405,81,202406,82,0.4999614757361345,Continues
202405,82,202406,49,0.8947138594733732,Continues
202405,83,202406,84,1.0,Continues
202405,84,202406,85,1.0,Continues
202405,85,202406,86,1.0,Continues
202405,-1,202406,2,,Born
202405,-1,202406,6,,Born
202405,-1,202406,8,,Born
202405,-1,202406,15,,Born
202405,19,202406,18,0.4522851886785651,Merges
202405,20,202406,18,0.343126548807351,Merges
202405,-1,202406,19,,Born
202405,-1,202406,22,,Born
202405,-1,202406,25,,Born
202405,-1,202406,27,,Born
202405,-1,202406,28,,Born
202405,-1,202406,30,,Born
202405,-1,202406,33,,Born
202405,-1,202406,34,,Born
202405,-1,202406,37,,Born
202405,-1,202406,38,,Born
202405,-1,202406,42,,Born
202405,-1,202406,48,,Born
202405,-1,202406,53,,Born
202405,-1,202406,56,,Born
202405,-1,202406,63,,Born
202405,-1,202406,64,,Born
202405,-1,202406,65,,Born
202405,-1,202406,66,,Born
202405,-1,202406,70,,Born
202405,1,202406,71,0.22251840654990487,Merges
202405,15,202406,71,0.2798431268463408,Merges
202405,-1,202406,76,,Born
202405,-1,202406,77,,Born
202405,-1,202406,80,,Born
202406,0,202407,1,0.5131216708244498,Continues
202406,1,202407,4,0.8489592925227064,Continues
202406,2,202407,39,0.2363104179882919,Continues
202406,3,202407,17,0.6473012432908779,Continues
202406,4,202407,2,0.2275647308496706,Continues
202406,5,202407,10,0.900475946395455,Continues
202406,6,202407,-1,,Dies
202406,7,202407,14,0.8499559815302861,Continues
202406,8,202407,2,0.24207392761523353,Continues
202406,9,202407,54,0.7914835912792761,Continues
202406,10,202407,6,0.9014305079111007,Continues
202406,11,202407,45,1.0,Continues
202406,12,202407,8,1.0,Continues
202406,13,202407,-1,,Dies
202406,14,202407,34,0.8043963956433585,Continues
202406,15,202407,11,1.0,Continues
202406,16,202407,26,0.6666400325316935,Continues
202406,17,202407,19,1.0,Continues
202406,18,202407,-1,,Dies
202406,19,202407,20,0.8333226322863428,Continues
202406,20,202407,23,0.961526111004622,Continues
202406,21,202407,25,1.0,Continues
202406,22,202407,-1,,Dies
202406,23,202407,29,1.0,Continues
202406,24,202407,31,1.0,Continues
202406,25,202407,-1,,Dies
202406,26,202407,33,1.0,Continues
202406,27,202407,-1,,Dies
202406,28,202407,-1,,Dies
202406,29,202407,35,1.0,Continues
202406,30,202407,-1,,Dies
202406,31,202407,38,1.0,Continues
202406,32,202407,9,0.947356253620656,Continues
202406,33,202407,-1,,Dies
202406,34,202407,44,0.6666581061588575,Continues
202406,35,202407,-1,,Dies
202406,36,202407,-1,,Dies
202406,37,202407,-1,,Dies
202406,38,202407,-1,,Dies
202406,39,202407,77,1.0,Continues
202406,40,202407,-1,,Dies
202406,41,202407,70,1.0,Continues
202406,42,202407,-1,,Dies
202406,43,202407,-1,,Dies
202406,44,202407,-1,,Dies
202406,45,202407,40,1.0,Continues
202406,46,202407,-1,,Dies
202406,47,202407,27,1.0,Continues
202406,48,202407,-1,,Dies
202406,49,202407,48,1.0,Continues
202406,50,202407,50,1.0,Continues
202406,51,202407,46,1.0,Continues
202406,52,202407,51,1.0,Continues
202406,53,202407,52,1.0,Continues
202406,54,202407,5,0.31061114140014906,Continues
202406,55,202407,55,1.0,Continues
202406,56,202407,32,1.0,Continues
202406,57,202407,56,1.0,Continues
202406,58,202407,58,1.0,Continues
202406,59,202407,37,1.0,Continues
202406,60,202407,59,1.0,Continues
202406,61,202407,60,1.0,Continues
202406,62,202407,62,1.0,Continues
202406,63,202407,-1,,Dies
202406,64,202407,63,1.0,Continues
202406,65,202407,78,1.0,Continues
202406,66,202407,30,1.0,Continues
202406,67,202407,53,1.0,Continues
202406,68,202407,65,0.6666581061588575,Continues
202406,69,202407,57,0.7999897271268057,Continues
202406,70,202407,36,1.0,Continues
202406,71,202407,0,0.21573040970091423,Continues
202406,72,202407,43,1.0,Continues
202406,73,202407,68,1.0,Continues
202406,74,202407,69,1.0,Continues
202406,75,202407,71,1.0,Continues
202406,76,202407,42,1.0,Continues
202406,77,202407,79,1.0,Continues
202406,78,202407,-1,,Dies
202406,79,202407,-1,,Dies
202406,80,202407,72,1.0,Continues
202406,81,202407,73,0.8911897798674476,Continues
202406,82,202407,15,1.0,Continues
202406,83,202407,76,1.0,Continues
202406,84,202407,61,1.0,Continues
202406,85,202407,-1,,Dies
202406,86,202407,80,1.0,Continues
202406,4,202407,2,0.2275647308496706,Merges
202406,8,202407,2,0.24207392761523353,Merges
202406,-1,202407,3,,Born
202406,-1,202407,7,,Born
202406,-1,202407,12,,Born
202406,-1,202407,13,,Born
202406,-1,202407,16,,Born
202406,-1,202407,18,,Born
202406,-1,202407,21,,Born
202406,-1,202407,22,,Born
202406,-1,202407,24,,Born
202406,-1,202407,28,,Born
202406,-1,202407,41,,Born
202406,-1,202407,47,,Born
202406,-1,202407,49,,Born
202406,-1,202407,64,,Born
202406,-1,202407,66,,Born
202406,-1,202407,67,,Born
202406,-1,202407,74,,Born
202406,-1,202407,75,,Born
202406,-1,202407,81,,Born
202407,0,202408,3,0.715997511898709,Continues
202407,1,202408,0,0.6319451163323867,Continues
202407,2,202408,7,0.3021269544177873,Splits
202407,2,202408,11,0.2670849706350346,Splits
202407,3,202408,10,0.4614033734791124,Continues
202407,4,202408,-1,,Dies
202407,5,202408,49,0.3140555935662028,Continues
202407,6,202408,13,0.9014305079111007,Continues
202407,7,202408,-1,,Dies
202407,8,202408,-1,,Dies
202407,9,202408,30,1.0,Continues
202407,10,202408,33,0.8983784472943047,Continues
202407,11,202408,-1,,Dies
202407,12,202408,-1,,Dies
202407,13,202408,-1,,Dies
202407,14,202408,23,0.843838126995951,Continues
202407,15,202408,-1,,Dies
202407,16,202408,-1,,Dies
202407,17,202408,5,0.7939471644868766,Continues
202407,18,202408,-1,,Dies
202407,19,202408,-1,,Dies
202407,20,202408,18,1.0,Continues
202407,21,202408,-1,,Dies
202407,22,202408,-1,,Dies
202407,23,202408,19,0.961526111004622,Continues
202407,24,202408,-1,,Dies
202407,25,202408,-1,,Dies
202407,26,202408,-1,,Dies
202407,27,202408,-1,,Dies
202407,28,202408,44,0.9129965574659643,Continues
202407,29,202408,-1,,Dies
202407,30,202408,-1,,Dies
202407,31,202408,25,1.0,Continues
202407,32,202408,-1,,Dies
202407,33,202408,26,1.0,Continues
202407,34,202408,17,0.468356654016684,Continues
202407,35,202408,-1,,Dies
202407,36,202408,62,0.6666324219970636,Continues
202407,37,202408,47,1.0,Continues
202407,38,202408,29,1.0,Continues
202407,39,202408,21,0.905134037181081,Continues
202407,40,202408,-1,,Dies
202407,41,202408,-1,,Dies
202407,42,202408,-1,,Dies
202407,43,202408,54,1.0,Continues
202407,44,202408,-1,,Dies
202407,45,202408,-1,,Dies
202407,46,202408,-1,,Dies
202407,47,202408,-1,,Dies
202407,48,202408,38,1.0,Continues
202407,49,202408,-1,,Dies
202407,50,202408,39,1.0,Continues
202407,51,202408,-1,,Dies
202407,52,202408,-1,,Dies
202407,53,202408,42,1.0,Continues
202407,54,202408,6,0.4444154138972631,Continues
202407,55,202408,-1,,Dies
202407,56,202408,46,1.0,Continues
202407,57,202408,-1,,Dies
202407,58,202408,-1,,Dies
202407,59,202408,60,1.0,Continues
202407,60,202408,51,1.0,Continues
202407,61,202408,-1,,Dies
202407,62,202408,-1,,Dies
202407,63,202408,-1,,Dies
202407,64,202408,-1,,Dies
202407,65,202408,-1,,Dies
202407,66,202408,-1,,Dies
202407,67,202408,-1,,Dies
202407,68,202408,55,1.0,Continues
202407,69,202408,56,1.0,Continues
202407,70,202408,-1,,Dies
202407,71,202408,57,1.0,Continues
202407,72,202408,-1,,Dies
202407,73,202408,34,0.8803101291166101,Continues
202407,74,202408,-1,,Dies
202407,75,202408,-1,,Dies
202407,76,202408,61,1.0,Continues
202407,77,202408,-1,,Dies
202407,78,202408,41,1.0,Continues
202407,79,202408,-1,,Dies
202407,80,202408,-1,,Dies
202407,81,202408,66,1.0,Continues
202407,-1,202408,1,,Born
202407,-1,202408,2,,Born
202407,-1,202408,4,,Born
202407,-1,202408,8,,Born
202407,-1,202408,9,,Born
202407,-1,202408,12,,Born
202407,-1,202408,14,,Born
202407,-1,202408,15,,Born
202407,-1,202408,16,,Born
202407,-1,202408,20,,Born
202407,-1,202408,22,,Born
202407,-1,202408,24,,Born
202407,-1,202408,27,,Born
202407,-1,202408,28,,Born
202407,-1,202408,31,,Born
202407,-1,202408,32,,Born
202407,-1,202408,35,,Born
202407,-1,202408,36,,Born
202407,-1,202408,37,,Born
202407,-1,202408,40,,Born
202407,-1,202408,43,,Born
202407,-1,202408,45,,Born
202407,-1,202408,48,,Born
202407,-1,202408,50,,Born
202407,-1,202408,52,,Born
202407,-1,202408,53,,Born
202407,-1,202408,58,,Born
202407,-1,202408,59,,Born
202407,-1,202408,63,,Born
202407,-1,202408,64,,Born
202407,-1,202408,65,,Born
202408,0,202409,0,0.7482397596106607,Continues
202408,1,202409,-1,,Dies
202408,2,202409,4,0.35592652972715394,Continues
202408,3,202409,22,0.3844559751916611,Continues
202408,4,202409,-1,,Dies
202408,5,202409,26,0.8189820098710259,Continues
202408,6,202409,65,0.6776338632718337,Continues
202408,7,202409,21,0.6719538151864918,Continues
202408,8,202409,-1,,Dies
202408,9,202409,-1,,Dies
202408,10,202409,6,0.38995097593641653,Splits
202408,10,202409,24,0.23294815602851185,Splits
202408,11,202409,1,0.6969377735360106,Continues
202408,12,202409,40,1.0,Continues
202408,13,202409,9,0.9761402260718098,Continues
202408,14,202409,44,1.0,Continues
202408,15,202409,-1,,Dies
202408,16,202409,-1,,Dies
202408,17,202409,11,0.22890538053881898,Splits
202408,17,202409,16,0.29437731155536784,Splits
202408,18,202409,-1,,Dies
202408,19,202409,5,0.961526111004622,Continues
202408,20,202409,-1,,Dies
202408,21,202409,16,0.44601989162527833,Continues
202408,22,202409,2,0.8303767420836338,Continues
202408,23,202409,33,0.8741007077942353,Continues
202408,24,202409,29,1.0,Continues
202408,25,202409,31,1.0,Continues
202408,26,202409,47,1.0,Continues
202408,27,202409,-1,,Dies
202408,28,202409,35,1.0,Continues
202408,29,202409,82,0.3999815092081575,Continues
202408,30,202409,64,0.947356253620656,Continues
202408,31,202409,-1,,Dies
202408,32,202409,-1,,Dies
202408,33,202409,3,0.8115746681296746,Continues
202408,34,202409,-1,,Dies
202408,35,202409,60,0.8571318502103241,Continues
202408,36,202409,-1,,Dies
202408,37,202409,52,1.0,Continues
202408,38,202409,55,0.949987798612895,Continues
202408,39,202409,56,1.0,Continues
202408,40,202409,57,1.0,Continues
202408,41,202409,96,1.0,Continues
202408,42,202409,-1,,Dies
202408,43,202409,-1,,Dies
202408,44,202409,54,0.9583087079602054,Continues
202408,45,202409,66,1.0,Continues
202408,46,202409,67,0.6666581061588575,Continues
202408,47,202409,36,1.0,Continues
202408,48,202409,46,1.0,Continues
202408,49,202409,28,0.9743213801215431,Continues
202408,50,202409,-1,,Dies
202408,51,202409,98,1.0,Continues
202408,52,202409,-1,,Dies
202408,53,202409,77,1.0,Continues
202408,54,202409,38,1.0,Continues
202408,55,202409,80,1.0,Continues
202408,56,202409,-1,,Dies
202408,57,202409,84,1.0,Continues
202408,58,202409,85,1.0,Continues
202408,59,202409,90,1.0,Continues
202408,60,202409,71,1.0,Continues
202408,61,202409,94,1.0,Continues
202408,62,202409,15,0.6666324219970636,Continues
202408,63,202409,-1,,Dies
202408,64,202409,-1,,Dies
202408,65,202409,100,1.0,Continues
202408,66,202409,-1,,Dies
202408,-1,202409,7,,Born
202408,-1,202409,8,,Born
202408,-1,202409,10,,Born
202408,-1,202409,12,,Born
202408,-1,202409,13,,Born
202408,-1,202409,14,,Born
202408,17,202409,16,0.29437731155536784,Merges
202408,21,202409,16,0.44601989162527833,Merges
202408,-1,202409,17,,Born
202408,-1,202409,18,,Born
202408,-1,202409,19,,Born
202408,-1,202409,20,,Born
202408,-1,202409,23,,Born
202408,-1,202409,25,,Born
202408,-1,202409,27,,Born
202408,-1,202409,30,,Born
202408,-1,202409,32,,Born
202408,-1,202409,34,,Born
202408,-1,202409,37,,Born
202408,-1,202409,39,,Born
202408,-1,202409,41,,Born
202408,-1,202409,42,,Born
202408,-1,202409,43,,Born
202408,-1,202409,45,,Born
202408,-1,202409,48,,Born
202408,-1,202409,49,,Born
202408,-1,202409,50,,Born
202408,-1,202409,51,,Born
202408,-1,202409,53,,Born
202408,-1,202409,58,,Born
202408,-1,202409,59,,Born
202408,-1,202409,61,,Born
202408,-1,202409,62,,Born
202408,-1,202409,63,,Born
202408,-1,202409,68,,Born
202408,-1,202409,69,,Born
202408,-1,202409,70,,Born
202408,-1,202409,72,,Born
202408,-1,202409,73,,Born
202408,-1,202409,74,,Born
202408,-1,202409,75,,Born
202408,-1,202409,76,,Born
202408,-1,202409,78,,Born
202408,-1,202409,79,,Born
202408,-1,202409,81,,Born
202408,-1,202409,83,,Born
202408,-1,202409,86,,Born
202408,-1,202409,87,,Born
202408,-1,202409,88,,Born
202408,-1,202409,89,,Born
202408,-1,202409,91,,Born
202408,-1,202409,92,,Born
202408,-1,202409,93,,Born
202408,-1,202409,95,,Born
202408,-1,202409,97,,Born
202408,-1,202409,99,,Born
202409,0,202410,57,0.42263453764151027,Continues
202409,1,202410,18,0.5873000191573567,Continues
202409,2,202410,-1,,Dies
202409,3,202410,16,0.5340983181954656,Continues
202409,4,202410,-1,,Dies
202409,5,202410,-1,,Dies
202409,6,202410,-1,,Dies
202409,7,202410,-1,,Dies
202409,8,202410,-1,,Dies
202409,9,202410,9,0.8740755233176707,Continues
202409,10,202410,-1,,Dies
202409,11,202410,13,0.3817737253478286,Continues
202409,12,202410,-1,,Dies
202409,13,202410,-1,,Dies
202409,14,202410,-1,,Dies
202409,15,202410,-1,,Dies
202409,16,202410,40,0.6043131260995465,Continues
202409,17,202410,33,0.39276691886576454,Continues
202409,18,202410,-1,,Dies
202409,19,202410,-1,,Dies
202409,20,202410,24,0.8749887636120813,Continues
202409,21,202410,75,0.5553751945032698,Continues
202409,22,202410,37,0.2785805965313232,Continues
202409,23,202410,-1,,Dies
202409,24,202410,3,0.3114797480449893,Continues
202409,25,202410,68,0.6805572057316237,Continues
202409,26,202410,6,0.6931048057452748,Continues
202409,27,202410,-1,,Dies
202409,28,202410,35,0.7913602159794194,Continues
202409,29,202410,-1,,Dies
202409,30,202410,19,0.6666581061588575,Continues
202409,31,202410,-1,,Dies
202409,32,202410,32,0.749990369305049,Continues
202409,33,202410,5,0.6746993771963495,Continues
202409,34,202410,29,0.5999845908880784,Continues
202409,35,202410,-1,,Dies
202409,36,202410,38,1.0,Continues
202409,37,202410,42,1.0,Continues
202409,38,202410,45,1.0,Continues
202409,39,202410,48,0.8333226322863428,Continues
202409,40,202410,-1,,Dies
202409,41,202410,-1,,Dies
202409,42,202410,-1,,Dies
202409,43,202410,15,0.8333226322863428,Continues
202409,44,202410,-1,,Dies
202409,45,202410,-1,,Dies
202409,46,202410,67,0.6362950703875915,Continues
202409,47,202410,52,1.0,Continues
202409,48,202410,-1,,Dies
202409,49,202410,-1,,Dies
202409,50,202410,-1,,Dies
202409,51,202410,-1,,Dies
202409,52,202410,58,0.8999884422755875,Continues
202409,53,202410,30,0.916654894607969,Continues
202409,54,202410,-1,,Dies
202409,55,202410,92,0.5999178043486636,Continues
202409,56,202410,-1,,Dies
202409,57,202410,-1,,Dies
202409,58,202410,94,0.6666581061588575,Continues
202409,59,202410,61,1.0,Continues
202409,60,202410,-1,,Dies
202409,61,202410,63,0.6666581061588575,Continues
202409,62,202410,-1,,Dies
202409,63,202410,25,0.7856840147062061,Continues
202409,64,202410,-1,,Dies
202409,65,202410,8,0.30887167258192044,Continues
202409,66,202410,-1,,Dies
202409,67,202410,-1,,Dies
202409,68,202410,-1,,Dies
202409,69,202410,-1,,Dies
202409,70,202410,-1,,Dies
202409,71,202410,-1,,Dies
202409,72,202410,-1,,Dies
202409,73,202410,-1,,Dies
202409,74,202410,-1,,Dies
202409,75,202410,-1,,Dies
202409,76,202410,-1,,Dies
202409,77,202410,-1,,Dies
202409,78,202410,-1,,Dies
202409,79,202410,-1,,Dies
202409,80,202410,-1,,Dies
202409,81,202410,41,0.6666581061588575,Continues
202409,82,202410,85,0.49998555409669765,Continues
202409,83,202410,-1,,Dies
202409,84,202410,-1,,Dies
202409,85,202410,-1,,Dies
202409,86,202410,-1,,Dies
202409,87,202410,-1,,Dies
202409,88,202410,-1,,Dies
202409,89,202410,90,0.8571318502103241,Continues
202409,90,202410,-1,,Dies
202409,91,202410,51,0.49998715923828607,Continues
202409,92,202410,-1,,Dies
202409,93,202410,83,0.6666581061588575,Continues
202409,94,202410,-1,,Dies
202409,95,202410,-1,,Dies
202409,96,202410,95,0.8749887636120813,Continues
202409,97,202410,7,0.3999845910859432,Continues
202409,98,202410,69,0.5999845908880784,Continues
202409,99,202410,-1,,Dies
202409,100,202410,-1,,Dies
202409,-1,202410,0,,Born
202409,-1,202410,1,,Born
202409,-1,202410,2,,Born
202409,-1,202410,4,,Born
202409,-1,202410,10,,Born
202409,-1,202410,11,,Born
202409,-1,202410,12,,Born
202409,-1,202410,14,,Born
202409,-1,202410,17,,Born
202409,-1,202410,20,,Born
202409,-1,202410,21,,Born
202409,-1,202410,22,,Born
202409,-1,202410,23,,Born
202409,-1,202410,26,,Born
202409,-1,202410,27,,Born
202409,-1,202410,28,,Born
202409,-1,202410,31,,Born
202409,-1,202410,34,,Born
202409,-1,202410,36,,Born
202409,-1,202410,39,,Born
202409,-1,202410,43,,Born
202409,-1,202410,44,,Born
202409,-1,202410,46,,Born
202409,-1,202410,47,,Born
202409,-1,202410,49,,Born
202409,-1,202410,50,,Born
202409,-1,202410,53,,Born
202409,-1,202410,54,,Born
202409,-1,202410,55,,Born
202409,-1,202410,56,,Born
202409,-1,202410,59,,Born
202409,-1,202410,60,,Born
202409,-1,202410,62,,Born
202409,-1,202410,64,,Born
202409,-1,202410,65,,Born
202409,-1,202410,66,,Born
202409,-1,202410,70,,Born
202409,-1,202410,71,,Born
202409,-1,202410,72,,Born
202409,-1,202410,73,,Born
202409,-1,202410,74,,Born
202409,-1,202410,76,,Born
202409,-1,202410,77,,Born
202409,-1,202410,78,,Born
202409,-1,202410,79,,Born
202409,-1,202410,80,,Born
202409,-1,202410,81,,Born
202409,-1,202410,82,,Born
202409,-1,202410,84,,Born
202409,-1,202410,86,,Born
202409,-1,202410,87,,Born
202409,-1,202410,88,,Born
202409,-1,202410,89,,Born
202409,-1,202410,91,,Born
202409,-1,202410,93,,Born
202409,-1,202410,96,,Born
